ID,NAMA_KAB_KOTA,PROVINSI
319,Sanggau,Kalimantan Barat
320,Ketapang,Kalimantan Barat
321,Sintang,Kalimantan Barat
322,Kapuas Hulu,Kalimantan Barat
323,Sekadau,Kalimantan Barat
324,Melawi,Kalimantan Barat
325,Kayong Utara,Kalimantan Barat
326,Kubu Raya,Kalimantan Barat
327,Kota Pontianak,Kalimantan Barat
328,Kota Singkawang,Kalimantan Barat
329,Kotawaringin Barat,Kalimantan Tengah
330,Kotawaringin Timur,Kalimantan Tengah
331,Kapuas,Kalimantan Tengah
332,Barito Selatan,Kalimantan Tengah
333,Barito Utara,Kalimantan Tengah
334,Sukamara,Kalimantan Tengah
335,Lamandau,Kalimantan Tengah
336,Seruyan,Kalimantan Tengah
337,Katingan,Kalimantan Tengah
338,Pulang Pisau,Kalimantan Tengah
339,Gunung Mas,Kalimantan Tengah
340,Barito Timur,Kalimantan Tengah
341,Murung Raya,Kalimantan Tengah
342,Kota Palangka Raya,Kalimantan Tengah
343,Tanah Laut,Kalimantan Selatan
344,Kotabaru,Kalimantan Selatan
345,Banjar,Kalimantan Selatan
346,Barito Kuala,Kalimantan Selatan
347,Tapin,Kalimantan Selatan
348,Hulu Sungai Selatan,Kalimantan Selatan
349,Hulu Sungai Tengah,Kalimantan Selatan
350,Hulu Sungai Utara,Kalimantan Selatan
351,Tabalong,Kalimantan Selatan
352,Tanah Bumbu,Kalimantan Selatan
353,Balangan,Kalimantan Selatan
354,Kota Banjarmasin,Kalimantan Selatan
355,Kota Banjar Baru,Kalimantan Selatan
356,Paser,Kalimantan Timur
357,Kutai Barat,Kalimantan Timur
358,Kutai Kartanegara,Kalimantan Timur
359,Kutai Timur,Kalimantan Timur
360,Berau,Kalimantan Timur
361,Penajam Paser Utara,Kalimantan Timur
362,Mahakam Ulu,Kalimantan Timur
363,Kota Balikpapan,Kalimantan Timur
364,Kota Samarinda,Kalimantan Timur
365,Kota Bontang,Kalimantan Timur
366,Malinau,Kalimantan Utara
367,Bulungan,Kalimantan Utara
368,Tana Tidung,Kalimantan Utara
369,Nunukan,Kalimantan Utara
370,Kota Tarakan,Kalimantan Utara
371,Bolaang Mongondow,Sulawesi Utara
372,Minahasa,Sulawesi Utara
373,Kepulauan Sangihe,Sulawesi Utara
374,Kepulauan Talaud,Sulawesi Utara
375,Minahasa Selatan,Sulawesi Utara
376,Minahasa Utara,Sulawesi Utara
377,Bolaang Mongondow Utara,Sulawesi Utara
378,Siau Tagulandang Biaro,Sulawesi Utara
379,Minahasa Tenggara,Sulawesi Utara
380,Bolaang Mongondow Selatan,Sulawesi Utara
381,Bolaang Mongondow Timur,Sulawesi Utara
382,Kota Manado,Sulawesi Utara
383,Kota Bitung,Sulawesi Utara
384,Kota Tomohon,Sulawesi Utara
385,Kota Kotamobagu,Sulawesi Utara
386,Banggai Kepulauan,Sulawesi Tengah
387,Banggai,Sulawesi Tengah
388,Morowali,Sulawesi Tengah
389,Poso,Sulawesi Tengah
390,Donggala,Sulawesi Tengah
391,Toli-Toli,Sulawesi Tengah
392,Buol,Sulawesi Tengah
393,Parigi Moutong,Sulawesi Tengah
394,Tojo Una-Una,Sulawesi Tengah
395,Sigi,Sulawesi Tengah
396,Banggai Laut,Sulawesi Tengah
397,Morowali Utara,Sulawesi Tengah
398,Kota Palu,Sulawesi Tengah
399,Kepulauan Selayar,Sulawesi Selatan
400,Bulukumba,Sulawesi Selatan
401,Bantaeng,Sulawesi Selatan
402,Jeneponto,Sulawesi Selatan
403,Takalar,Sulawesi Selatan
404,Gowa,Sulawesi Selatan
405,Sinjai,Sulawesi Selatan
406,Maros,Sulawesi Selatan
407,Pangkajene dan Kepulauan,Sulawesi Selatan
408,Barru,Sulawesi Selatan
409,Bone,Sulawesi Selatan
410,Soppeng,Sulawesi Selatan
411,Wajo,Sulawesi Selatan
412,Sidenreng Rappang,Sulawesi Selatan
413,Pinrang,Sulawesi Selatan
414,Enrekang,Sulawesi Selatan
415,Luwu,Sulawesi Selatan
416,Tana Toraja,Sulawesi Selatan
417,Luwu Utara,Sulawesi Selatan
418,Luwu Timur,Sulawesi Selatan
419,Toraja Utara,Sulawesi Selatan
420,Kota Makasar,Sulawesi Selatan
421,Kota Parepare,Sulawesi Selatan
422,Kota Palopo,Sulawesi Selatan
423,Buton,Sulawesi Tenggara
424,Muna,Sulawesi Tenggara
425,Konawe,Sulawesi Tenggara
426,Kolaka,Sulawesi Tenggara
427,Konawe Selatan,Sulawesi Tenggara
428,Bombana,Sulawesi Tenggara
429,Wakatobi,Sulawesi Tenggara
430,Kolaka Utara,Sulawesi Tenggara
431,Buton Utara,Sulawesi Tenggara
432,Konawe Utara,Sulawesi Tenggara
433,Kolaka Timur,Sulawesi Tenggara
434,Konawe Kepulauan,Sulawesi Tenggara
435,Muna Barat,Sulawesi Tenggara
436,Buton Tengah,Sulawesi Tenggara
437,Buton Selatan,Sulawesi Tenggara
438,Kota Kendari,Sulawesi Tenggara
439,Kota Baubau,Sulawesi Tenggara
440,Boalemo,Gorontalo
441,Gorontalo,Gorontalo
442,Pohuwato,Gorontalo
443,Bone Bolango,Gorontalo
444,Gorontalo Utara,Gorontalo
445,Kota Gorontalo,Gorontalo
446,Majene,Sulawesi Barat
447,Polewali Mandar,Sulawesi Barat
448,Mamasa,Sulawesi Barat
449,Mamuju,Sulawesi Barat
450,Mamuju Utara / Pasangkayu,Sulawesi Barat
451,Mamuju Tengah,Sulawesi Barat
452,Maluku Tenggara Barat / Kepulauan Tanimbar,Maluku
453,Maluku Tenggara,Maluku
454,Maluku Tengah,Maluku
455,Buru,Maluku
456,Kepulauan Aru,Maluku
457,Seram Bagian Barat,Maluku
458,Seram Bagian Timur,Maluku
459,Maluku Barat Daya,Maluku
460,Buru Selatan,Maluku
461,Kota Ambon,Maluku
462,Kota Tual,Maluku
463,Halmahera Barat,Maluku Utara
464,Halmahera Tengah,Maluku Utara
465,Kepulauan Sula,Maluku Utara
466,Halmahera Selatan,Maluku Utara
467,Halmahera Utara,Maluku Utara
468,Halmahera Timur,Maluku Utara
469,Pulau Morotai,Maluku Utara
470,Pulau Taliabu,Maluku Utara
471,Kota Ternate,Maluku Utara
472,Kota Tidore Kepulauan,Maluku Utara
473,Fakfak,Papua Barat
474,Kaimana,Papua Barat
475,Teluk Wondama,Papua Barat
476,Teluk Bintuni,Papua Barat
477,Manokwari,Papua Barat
478,Sorong Selatan,Papua Barat
479,Sorong,Papua Barat
480,Raja Ampat,Papua Barat
481,Tambrauw,Papua Barat
482,Maybrat,Papua Barat
483,Manokwari Selatan,Papua Barat
484,Pegunungan Arfak,Papua Barat
485,Kota Sorong,Papua Barat
486,Raja Ampat,Papua Barat Daya
487,Sorong,Papua Barat Daya
488,Sorong Selatan,Papua Barat Daya
489,Maybrat,Papua Barat Daya
490,Tambrauw,Papua Barat Daya
491,Kota Sorong,Papua Barat Daya
492,Merauke,Papua
493,Jayawijaya,Papua
494,Jayapura,Papua
495,Nabire,Papua
496,Kepulauan Yapen,Papua
497,Biak Numfor,Papua
498,Paniai,Papua
499,Puncak Jaya,Papua
500,Mimika,Papua
501,Boven Digoel,Papua
502,Mappi,Papua
503,Asmat,Papua
504,Yahukimo,Papua
505,Pegunungan Bintang,Papua
506,Tolikara,Papua
507,Sarmi,Papua
508,Keerom,Papua
509,Waropen,Papua
510,Supiori,Papua
511,Mamberamo Raya,Papua
512,Nduga,Papua
513,Lanny Jaya,Papua
514,Mamberamo Tengah,Papua
515,Yalimo,Papua
516,Puncak,Papua
517,Dogiyai,Papua
518,Intan Jaya,Papua
519,Deiyai,Papua
520,Kota Jayapura,Papua
521,Merauke,Papua Selatan
522,Boven Digoel,Papua Selatan
523,Mappi,Papua Selatan
524,Asmat,Papua Selatan
525,Mimika,Papua Tengah
526,Dogiyai,Papua Tengah
527,Deiyai,Papua Tengah
528,Nabire,Papua Tengah
529,Paniai,Papua Tengah
530,Intan Jaya,Papua Tengah
531,Puncak,Papua Tengah
532,Puncak Jaya,Papua Tengah
533,Nduga,Papua Pegunungan
534,Jayawijaya,Papua Pegunungan
535,Lanny Jaya,Papua Pegunungan
536,Tolikara,Papua Pegunungan
537,Mamberamo Tengah,Papua Pegunungan
538,Yalimo,Papua Pegunungan
539,Yahukimo,Papua Pegunungan
540,Pegunungan Bintang,Papua Pegunungan
