id_prkapita,id_kab_kota,pengeluaran_2010,pengeluaran_2011,pengeluaran_2012,pengeluaran_2013,pengeluaran_2014,pengeluaran_2015,pengeluaran_2016,pengeluaran_2017,pengeluaran_2018,pengeluaran_2019,pengeluaran_2020,pengeluaran_2021,pengeluaran_2022,pengeluaran_2023,pengeluaran_2024
PRKAPITA321,321,7302,7520,7771,8020,8098,8224,8302,8343,8624,8823,8728,8708,8858,9128,9657
PRKAPITA322,322,6072,6163,6283,6361,6440,6640,6691,6883,7074,7206,7162,7168,7668,8055,8470
PRKAPITA323,323,6411,6470,6557,6601,6689,6795,6820,7001,7326,7640,7434,7462,7566,7981,8511
PRKAPITA324,324,7290,7398,7535,7631,7727,7841,7858,7922,8202,8465,8332,8415,8830,9155,9596
PRKAPITA325,325,6076,6376,6479,6661,6769,6950,7030,7434,7552,7905,7842,7920,8234,8594,9016
PRKAPITA326,326,7168,7488,7821,7935,7973,7994,8145,8430,8532,8773,8709,8630,9142,9605,10132
PRKAPITA327,327,13232,13350,13496,13601,13706,13737,13838,13904,14322,14515,14465,14610,15141,15632,16212
PRKAPITA328,328,10864,10871,10878,10886,10950,10982,11006,11122,11514,11789,11650,11767,12089,12457,12945
PRKAPITA329,329,11707,11757,11807,11857,11908,11979,12101,12420,12788,13175,13109,13117,13352,13798,14095
PRKAPITA330,330,9623,9802,10170,10343,10430,10525,10922,11249,11556,11905,11854,11866,12048,12546,13042
PRKAPITA331,331,9022,9388,9479,9633,9726,9894,10287,10421,10738,11063,11015,11148,11377,11829,12265
PRKAPITA332,332,9669,9927,10101,10283,10374,10570,10938,11031,11242,11582,11486,11492,11780,12067,12508
PRKAPITA333,333,7333,7519,7564,7614,8326,8534,8774,9067,9357,10010,9936,9951,10182,10720,11150
PRKAPITA334,334,7293,7498,7522,7545,7568,7709,7792,8177,8482,8738,8674,8773,9225,9494,9809
PRKAPITA335,335,9750,9794,9837,9881,9925,9999,10049,10455,10996,11278,11190,11234,11559,12050,12278
PRKAPITA336,336,7649,7832,7873,7919,7958,8026,8331,8658,9110,9385,9370,9420,9821,10157,10474
PRKAPITA337,337,9040,9269,9357,9452,9542,9599,9969,10029,10327,10639,10548,10568,11036,11399,11691
PRKAPITA338,338,8308,8461,8479,8537,8556,8639,9017,9365,9807,10104,10047,10082,10273,10752,11207
PRKAPITA339,339,8885,9281,9544,9823,9965,10044,10155,10276,10504,10822,10793,10809,10990,11462,11902
PRKAPITA340,340,10267,10422,10436,10450,10465,10570,10631,10808,11000,11333,11319,11322,11710,12083,12576
PRKAPITA341,341,8987,9200,9223,9245,9268,9328,9742,9872,10164,10471,10419,10449,10697,11053,11503
PRKAPITA342,342,12009,12230,12311,12397,12521,12629,12899,13435,13677,14091,14055,14070,14345,14727,15188
