id_ipm,id_kab_kota,NAMA_KAB_KOTA,PROVINSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IPM066,66,Solok Selatan,Sumatera Barat,"64,51","64,81","65,12","65,86","66,29","67,09","67,47","67,81","68,45","68,94","69,04","69,23","69,71","70,58","71,5"
IPM067,67,Dharmasraya,Sumatera Barat,"66,56","67,4","67,76","68,71","69,27","69,84","70,25","70,4","70,86","71,52","71,51","71,76","72,3","73,04","74,06"
IPM068,68,Pasaman Barat,Sumatera Barat,"61,77","62,55","63,33","63,92","64,56","65,26","66,03","66,83","67,43","68,21","68,49","68,76","69,57","70,19","70,93"
IPM069,69,Kota Padang,Sumatera Barat,"78,44","78,68",79,"79,23","79,83","80,36","81,06","81,58","82,25","82,68","82,82","82,9","83,29","83,58","83,99"
IPM070,70,Kota Solok,Sumatera Barat,"74,38","74,68","75,02","75,54","76,2","76,83","77,07","77,44","77,89","78,38","78,29","78,41","79,23","79,58",80
IPM071,71,Kota Sawah Lunto,Sumatera Barat,"67,55","67,97","68,59","69,07","69,61","69,87","70,67","71,13","71,72","72,39","72,64","72,88","73,73","74,42","75,13"
IPM072,72,Kota Padang Panjang,Sumatera Barat,"73,27","73,76","74,22","74,54","75,05","75,98","76,5","77,01","77,3",78,"77,93","77,97","78,78","79,26","80,17"
IPM073,73,Kota Bukittinggi,Sumatera Barat,"76,12","76,3","76,92","77,67","78,02","78,72","79,11","79,8","80,11","80,71","80,58","80,7","81,42","81,78","82,51"
IPM074,74,Kota Payakumbuh,Sumatera Barat,"74,89","75,39","75,89","76,34","76,49","77,42","77,56","77,91","78,23","78,95","78,9","79,08","79,53","79,97","80,61"
IPM075,75,Kota Pariaman,Sumatera Barat,"72,56","73,07","73,47","74,51","74,66","74,98","75,44","75,71","76,26","76,7","76,9","77,07","77,65","78,13","78,88"
IPM076,76,Kuantan Singingi,Riau,"65,07","65,72","66,31","66,65","67,47","68,32","68,66","69,53","69,96","70,78","70,31","70,6","71,09","71,67","72,33"
IPM077,77,Indragiri Hulu,Riau,"65,1","65,93","66,5","66,68","67,11",68,"68,67","68,97","69,66","70,05","69,83","70,01","70,46","71,04","71,48"
IPM078,78,Indragiri Hilir,Riau,"61,98","62,82","63,04","63,44","63,8","64,8","65,35","66,17","66,51","66,84","66,54","66,63","67,37","67,98","68,38"
IPM079,79,Pelalawan,Riau,"65,95","66,58","67,25","68,29","68,67","69,82","70,21","70,59","71,44","71,85","71,56","72,08","72,93","73,59","74,08"
IPM080,80,Siak,Riau,"69,78","70,2","70,45","70,84","71,45","72,17","72,7","73,18","73,73","74,07","73,68","73,98","74,5","74,98","75,45"
IPM081,81,Kampar,Riau,"68,62","69,64","70,08","70,46","70,72","71,28","71,39","72,19","72,5","73,15","72,83","73,02","73,84","74,24","74,85"
IPM082,82,Rokan Hulu,Riau,"63,59","64,2","64,99","66,07","67,02","67,29","67,86","68,67","69,36","69,93","69,38","69,67","70,31","71,02","71,82"
IPM083,83,Bengkalis,Riau,"69,29","69,72","70,26","70,6","70,84","71,29","71,98","72,27","72,94","73,44","73,46","73,58","74,38","74,97","75,28"
IPM084,84,Rokan Hilir,Riau,"64,13","64,76","65,09","65,46","66,22","66,81","67,52","67,84","68,73","69,4","69,15","69,34","70,1","70,78","71,2"
IPM085,85,Kepulauan Meranti,Riau,"59,71","60,38","61,49","62,53","62,91","63,25","63,9","64,7","65,23","65,93","65,5","65,7","66,52","67,28","67,92"
IPM086,86,Kota Pekanbaru,Riau,"77,34","77,71","77,94","78,16","78,42","79,32","79,69","79,97","80,66","81,35","81,32","81,58","82,06","82,38","82,89"
IPM087,87,Kota Dumai,Riau,"69,55","70,43","71,07","71,59","71,86","72,2","72,96","73,46","74,06","74,64","74,4","74,75","75,26","75,66","76,19"
IPM088,88,Kerinci,Jambi,"65,16","65,85","66,71","67,49","67,96","68,89","69,68","70,03","70,59","70,95","71,21","71,45","71,99","72,54","73,11"
IPM089,89,Merangin,Jambi,"63,85","64,4","65,31","65,82","66,21","67,15","67,86","68,3","68,81","69,07","69,19","69,53","69,98","70,81","71,66"
IPM090,90,Sarolangun,Jambi,"64,64","65,2","66,16","67,13","67,67","68,1","68,73","69,03","69,41","69,72","69,86","70,25","70,89","71,29","72,01"
IPM091,91,Batang Hari,Jambi,"65,67","66,32","66,97","67,24","67,68","68,05","68,7","68,92","69,33","69,67","69,84","70,11","70,51","71,02","71,67"
IPM092,92,Muaro Jambi,Jambi,"62,84","63,39","64,17","65,14","65,71","66,66","67,55","67,86","68,34","69,01","69,18","69,55","70,18","71,04","71,91"
IPM093,93,Tanjung Jabung Timur,Jambi,"57,21","57,77","58,63","59,41","59,88","61,12","61,88","62,61","63,32","63,92","64,43","64,91","65,77","66,65","67,54"
IPM094,94,Tanjung Jabung Barat,Jambi,"61,49","61,98","62,86","63,54","64,04","65,03","65,91","66,15","67,13","67,54","67,54","68,16","68,79","69,35","69,93"
IPM095,95,Tebo,Jambi,"63,62","64,45","65,23","65,91","66,63","67,29","68,05","68,16","68,67","69,02","69,14","69,35","69,78","70,63","71,32"
IPM096,96,Bungo,Jambi,"66,28","66,7","67,2","67,54","67,93","68,34","68,77","69,04","69,42","69,86","69,92","70,15","70,55","71,06","71,92"
IPM097,97,Kota Jambi,Jambi,"72,23","72,96","73,78","74,21","74,86","75,58","76,14","76,74","77,41","78,26","78,37","79,12","79,58","80,15","81,04"
IPM098,98,Kota Sungai Penuh,Jambi,"69,91","70,55","71,23","72,09","72,48","73,03","73,35","73,75","74,67","75,36","75,42","75,7","76,17","76,65","77,4"
IPM099,99,Ogan Komering Ulu,Sumatera Selatan,"64,13","64,62","65,09","65,51","66,21","67,18","67,47","68,28","69,01","69,45","69,32","69,6","70,24","71,01","71,55"
IPM100,100,Ogan Komering Ilir,Sumatera Selatan,"61,04","61,68","62,29","63,52","63,87","64,73","65,44","66,11","66,57","66,96","66,82","67,17","68,02","68,65","69,33"
IPM101,101,Muara Enim,Sumatera Selatan,"62,12","62,82","63,34","64,34","65,02","65,82","66,71","67,63","68,28","68,88","68,74","68,86","69,43","70,24",71
IPM102,102,Lahat,Sumatera Selatan,"62,31","62,93","63,66","64,15","64,52","65,25","65,75","66,38","66,99","67,62","67,44","67,58","68,4","69,1","69,77"
IPM103,103,Musi Rawas,Sumatera Selatan,"59,69","60,63","61,37","62,23","63,19","64,11","64,75","65,31","66,18","66,92","66,79","67,01","67,78","68,26","68,95"
IPM104,104,Musi Banyuasin,Sumatera Selatan,"61,79","62,56","63,27","64,18","64,93","65,76","66,45","66,96","67,57","67,83","67,69","68,1","68,6","69,17","70,12"
IPM105,105,Banyu Asin,Sumatera Selatan,"60,31","61,04","61,69","62,42","63,21","64,15","65,01","65,85","66,4","66,9","66,74","67,13","67,93","68,65","69,51"
IPM106,106,Ogan Komering Ulu Selatan,Sumatera Selatan,"58,88","59,74","60,63","61,58","61,94","62,57","63,42","63,96","64,84","65,43","65,3","65,34","65,87","66,67","67,65"
IPM107,107,Ogan Komering Ulu Timur,Sumatera Selatan,"63,36","64,27","65,18","66,09","66,74","67,17","67,38","67,84","68,58","69,34","69,28","69,58","70,23","70,96","71,55"
IPM108,108,Ogan Ilir,Sumatera Selatan,"61,62","62,47","63,03","63,64","64,49","65,35","65,45","65,63","66,43","67,22","67,06","67,17","67,96","68,76","69,4"
IPM109,109,Empat Lawang,Sumatera Selatan,"61,11","61,86","62,3","62,74","63,17","63,55",64,"64,21","64,81","65,1","65,25","65,39",66,"66,68","67,25"
IPM110,110,Penukal Abab Lematang Ilir,Sumatera Selatan,-,-,-,"59,69","59,89","60,83","61,66","62,58","63,49","64,33","64,7","64,88","65,75","66,64","67,48"
IPM111,111,Musi Rawas Utara,Sumatera Selatan,-,-,-,"60,56","61,34","62,32","63,05","63,18","63,75","64,32","64,49","64,93","65,74","66,6","67,4"
IPM112,112,Kota Palembang,Sumatera Selatan,"73,33","74,08","74,74","75,49","76,02","76,29","76,59","77,22","77,89","78,44","78,33","78,72","79,47","80,02","80,57"
IPM113,113,Kota Prabumulih,Sumatera Selatan,"69,39","70,32","70,95","71,87","72,2","73,19","73,38","73,58","74,04","74,4","74,55","74,67","75,52","76,46","77,08"
IPM114,114,Kota Pagar Alam,Sumatera Selatan,"61,97","62,71","63,33","64,14","64,75","65,37","65,96","66,81","67,62","68,44","68,31","68,68","69,6","70,45","71,19"
IPM115,115,Kota Lubuklinggau,Sumatera Selatan,"70,72","71,62","72,04","72,55","72,84","73,17","73,57","73,67","74,09","74,81","74,78","74,89","75,53","76,19","76,82"
IPM116,116,Bengkulu Selatan,Bengkulu,"65,84","66,5","66,77","67,61","68,28","68,57","68,71","69,04","69,85","70,27","70,63","70,75","71,42","71,91","72,35"
IPM117,117,Rejang Lebong,Bengkulu,"64,19","64,92","65,51","66,11","66,55","67,51","68,34","68,61","69,4","70,1","70,44","70,77","71,45","72,31","72,92"
IPM118,118,Bengkulu Utara,Bengkulu,"63,5","64,61","65,47","66,67","67,27","67,46","67,63","67,8","68,36","68,8","68,82","69,28","69,77","70,28","71,11"
IPM119,119,Kaur,Bengkulu,"61,39","61,85","62,32","63,17","63,75","64,47","64,95","65,28","66,2","66,78","66,99","67,17","67,77","68,38","68,98"
IPM120,120,Seluma,Bengkulu,"60,27","61,01","61,55","62,1","62,94","63,41","64,04",65,"65,99","66,69","66,89","67,03","67,76","68,27","68,97"
IPM121,121,Mukomuko,Bengkulu,"62,95","63,71","64,16","64,79","65,31","65,77","66,52","67,07","67,47","68,12","68,45","68,64","69,12","69,97","70,63"
IPM122,122,Lebong,Bengkulu,"61,87","62,43","62,84","63,15","63,9","64,72","65,58","65,87","66,28","66,84","67,01","67,46","68,12","68,71","69,27"
IPM123,123,Kepahiang,Bengkulu,"62,6","63,44","63,86","64,44","65,22","65,45","66,35","66,6","67,14","67,67","68,17","68,62","69,09","69,6","70,27"
IPM124,124,Bengkulu Tengah,Bengkulu,"61,7","62,54","63,12","63,71","64,1","64,68","65,44","65,8","66,65","67,3","67,61","67,96","68,47","68,99","69,84"
IPM125,125,Kota Bengkulu,Bengkulu,"74,92","75,31","75,71","76,16","76,49","77,16","77,94","78,82","79,67","80,35","80,36","80,54","80,99","81,45","82,04"
IPM126,126,Lampung Barat,Lampung,"60,93","61,92","62,51","63,21","63,54","64,54","65,45","66,06","66,74","67,5","67,8","67,9","68,39","69,11","69,84"
IPM127,127,Tanggamus,Lampung,"60,09","60,63","61,14","61,89","62,67","63,66","64,41","64,94","65,67","66,37","66,42","66,65","67,22","67,86","68,52"
IPM128,128,Lampung Selatan,Lampung,"61,07","61,95","62,68","63,35","63,75","65,22","66,19","66,95","67,68","68,22","68,36","68,49",69,"69,63","70,28"
IPM129,129,Lampung Timur,Lampung,"63,23","64,1","65,1","66,07","66,42","67,1","67,88","68,05","69,04","69,34","69,37","69,66","70,58","71,21","71,84"
IPM130,130,Lampung Tengah,Lampung,"64,14","64,71","65,6","66,57","67,07","67,61","68,33","68,95","69,73","70,04","70,16","70,23","70,8","71,6","72,37"
IPM131,131,Lampung Utara,Lampung,"61,82","62,67","62,93",64,"64,89","65,2","65,95","66,58","67,17","67,63","67,67","67,89","68,33","68,95","69,62"
IPM132,132,Way Kanan,Lampung,"61,27","62,04","62,79","63,92","64,32","65,18","65,74","65,97","66,63","67,19","67,44","67,57","68,04","68,63","69,31"
IPM133,133,Tulangbawang,Lampung,"63,21","63,67","64,11","64,91","65,83","66,08","66,74","67,07","67,7","68,23","68,52","68,73","69,53","70,02","70,66"
IPM134,134,Pesawaran,Lampung,"58,64","59,44","59,98","60,94","61,7","62,7","63,47","64,43","64,97","65,75","65,79","66,14","66,7","67,67","68,52"
IPM135,135,Pringsewu,Lampung,-,"64,86","65,37","66,14","66,58","67,55","68,26","68,61","69,42","69,97","70,3","70,45","70,98","71,61","72,29"
IPM136,136,Mesuji,Lampung,-,"57,32","57,67","58,16","58,71","59,79","60,72","61,87","62,88","63,52","63,63","64,04","64,94","65,64","66,46"
IPM137,137,Tulang Bawang Barat,Lampung,-,"60,13","60,77","61,46","62,46","63,01","63,77","64,58","65,3","65,93","65,97","66,22","67,13","67,81","68,46"
IPM138,138,Pesisir Barat,Lampung,-,-,-,"58,95","59,76","60,55","61,5","62,2","62,96","63,79","63,91","64,3","65,14",66,"66,73"
IPM139,139,Kota Bandar Lampung,Lampung,"71,11","72,04","72,88","73,93","74,34","74,81","75,34","75,98","76,63","77,33","77,44","77,58","78,01","78,56","79,19"
IPM140,140,Kota Metro,Lampung,"71,37","72,23","72,86","74,27","74,98","75,1","75,45","75,87","76,22","76,77","77,19","77,49","77,89","78,36","78,93"
IPM141,141,Bangka,Kep. Bangka Belitung,"66,41","67,37","67,99","69,34","69,79","70,03","70,43","71,09","71,8","72,39","72,4","72,46","72,95","73,66","73,98"
IPM142,142,Belitung,Kep. Bangka Belitung,"66,79","67,17","67,87","69,27","69,56","70,29","70,81","70,93","71,7","72,46","72,51","72,57","73,38","74,02","74,47"
IPM143,143,Bangka Barat,Kep. Bangka Belitung,"63,16",64,"64,92","65,85","66,43","67,23","67,6","67,94","68,68","69,05","69,08","69,6","70,12","70,45","70,67"
IPM144,144,Bangka Tengah,Kep. Bangka Belitung,"65,1","66,09","66,88","67,67","68,09","68,66","68,76","68,99","69,52","70,33","70,45","70,89","71,4","71,71","71,9"
IPM145,145,Bangka Selatan,Kep. Bangka Belitung,"59,98","60,53","61,17","62,96","63,54","63,89","64,57","65,02","65,98","66,54","66,9","67,06","67,95","68,51","68,86"
IPM146,146,Belitung Timur,Kep. Bangka Belitung,"64,99","65,86","66,59","67,71","68,1","68,83","69,3","69,57","70,22","70,84","70,92","71,42","72,29","72,86","73,19"
IPM147,147,Kota Pangkal Pinang,Kep. Bangka Belitung,"74,68","75,02","75,69","76,14","76,28","76,61","76,73","76,86","77,43","77,97","78,22","78,57","79,24","79,93","80,4"
IPM148,148,Karimun,Kepulauan Riau,"66,4","66,82","67,67","68,52","68,72","69,21","69,84","70,26","70,56","71,1","71,44","71,7","72,65","73,51","74,28"
IPM149,149,Bintan,Kepulauan Riau,"69,87","70,47","71,01","71,31","71,65","71,92","72,38","72,91","73,41","73,98","74,13","74,57","74,99","75,7","76,18"
IPM150,150,Natuna,Kepulauan Riau,"66,29","67,76","68,8","69,39","70,06","70,87","71,23","71,52","72,1","72,63","72,72","73,09","73,47","74,21","74,56"
IPM151,151,Lingga,Kepulauan Riau,"57,36","58,51","59,38","60,13","60,75","61,28","62,44","63,45","64,06","64,98","65,29","65,83","66,57","67,44","68,19"
IPM152,152,Kepulauan Anambas,Kepulauan Riau,"63,03","63,71","64,32","64,86","65,12","65,86","66,3","67,06","67,53","68,48","68,8","69,23","69,61","70,26","70,93"
IPM153,153,Kota Batam,Kepulauan Riau,"76,98","77,82","78,39","78,65","79,13","79,34","79,79","80,26","80,54","81,09","81,11","81,12","81,67","82,11","82,86"
IPM154,154,Kota Tanjung Pinang,Kepulauan Riau,"73,76","74,86","75,91","76,7","77,29","77,57","77,77",78,"78,33","78,73","78,91","78,93","79,64","80,23","80,63"
IPM155,155,Kep. Seribu,DKI Jakarta,"64,96","65,79","66,92","67,62","68,48","68,84","69,52","70,11","70,91","71,4","71,63","72,1","72,79","73,39","74,17"
IPM156,156,Kota Jakarta Selatan,DKI Jakarta,"80,26","81,22","81,72","82,72","82,94","83,37","83,94","84,13","84,44","84,75","84,72","84,9","85,21","86,07","86,94"
IPM157,157,Kota Jakarta Timur,DKI Jakarta,"78,06","78,82","79,52","79,88","80,4","80,73","81,28","81,61","82,06","82,69","82,66","82,97","83,45","84,13","84,65"
IPM158,158,Kota Jakarta Pusat,DKI Jakarta,"77,3","77,97","78,44","78,81","79,03","79,69","80,22","80,49","81,01","81,24","81,39","81,56","82,11","82,53","83,01"
IPM159,159,Kota Jakarta Barat,DKI Jakarta,"76,65","77,41","78,05","78,79","79,38","79,72","80,34","80,47","80,88","81,21","81,38","81,76","82,51","83,02","83,64"
IPM160,160,Kota Jakarta Utara,DKI Jakarta,"75,15","76,12","76,89","77,16","77,29","78,3","78,78","79,47","79,87","80,17","80,29","80,51","80,81","81,11","81,39"
IPM161,161,Bogor,Jawa Barat,"64,35","64,78","65,66","66,74","67,36","67,77","68,32","69,13","69,69","70,65","70,4","70,6","71,2","71,78","72,39"
IPM162,162,Sukabumi,Jawa Barat,"60,69","61,14","62,27","63,63","64,07","64,44","65,13","65,49","66,05","66,87","66,88","67,07","67,64","68,49","68,97"
